column,name,card,Representation,semSort,semPath,fixedValue
-,seq,,Identifier,1010,GL02-01,
A,月種別,,,,,0
B,種類,,,,,0
C,形式,0..1,Document Reference,1240,GL55-03,
D,作成方法,,,,,0
E,付箋,,,,,0
F,伝票日付,0..1,Date,1230,GL55-02,
G,伝票番号,0..1,Code,1020,GL02-02,
H,伝票摘要,0..1,Text,1030,GL02-03,
I,枝番,0..1,Code,1220,GL69-02,
J,借方部門,0..1,Document Reference,1490,GL02-GL55[GL55-05=借方]/GL55-GL61[GL61-01=部門]/GL60-02,
K,借方部門名,0..1,Text,1500,GL02-GL55[GL55-05=借方]/GL55-GL61[GL61-01=部門]/GL60-03,
L,借方科目,1..1,Identifier,1320,GL02-GL55[GL55-05=借方]/GL55-GL63/GL63-01,
M,借方科目名,0..1,Text,1330,GL02-GL55[GL55-05=借方]/GL55-GL63/GL63-02,
N,借方補助,0..1,Text,1390,GL02-GL55[GL55-05=借方]/GL55-GL60[GL60-01=補助科目]/GL60-02,
O,借方補助科目名,0..1,Text,1400,GL02-GL55[GL55-05=借方]/GL55-GL60[GL60-01=補助科目]/GL60-03,
P,借方金額,1..1,Monetary Amount,1350,GL02-GL55[GL55-05=借方]/GL55-GL56/GL56-01,
Q,借方消費税コード,0..1,Code,1520,GL02-GL55[GL55-05=借方]/GL55-GL68[GL68-04=消費税]/GL68-01,
R,借方消費税業種,0..1,Text,1430,GL02-GL55[GL55-05=借方]/GL55-GL60[GL60-01=業種]/GL60-02,
S,借方消費税税率,0..1,Percentage,1530,GL02-GL55[GL55-05=借方]/GL55-GL68[GL68-04=消費税]/GL68-02,
T,借方資金区分,0..1,Text,1460,GL02-GL55[GL55-05=借方]/GL55-GL60[GL60-01=資金区分]/GL60-02,
U,借方任意項目１,,,,,
V,借方任意項目２,,,,,
W,貸方部門,0..1,0,1730,GL02-GL55[GL55-05=貸方]/GL55-GL61[GL61-01=部門]/GL60-02,
X,貸方部門名,0..1,Text,1740,GL02-GL55[GL55-05=貸方]/GL55-GL61[GL61-01=部門]/GL60-03,
Y,貸方科目,1..1,Identifier,1560,GL02-GL55[GL55-05=貸方]/GL55-GL63/GL63-01,
Z,貸方科目名,0..1,Text,1570,GL02-GL55[GL55-05=貸方]/GL55-GL63/GL63-02,
AA,貸方補助,0..1,Text,1630,GL02-GL55[GL55-05=貸方]/GL55-GL60[GL60-01=補助科目]/GL60-02,
AB,貸方補助科目名,0..1,Text,1640,GL02-GL55[GL55-05=貸方]/GL55-GL60[GL60-01=補助科目]/GL60-03,
AC,貸方金額,1..1,Monetary Amount,1590,GL02-GL55[GL55-05=貸方]/GL55-GL56/GL56-01,
AD,貸方消費税コード,0..1,Code,1760,GL02-GL55[GL55-05=貸方]/GL55-GL68[GL68-04=消費税]/GL68-01,
AE,貸方消費税業種,0..1,Text,1670,GL02-GL55[GL55-05=貸方]/GL55-GL60[GL60-01=業種]/GL60-02,
AF,貸方消費税税率,0..1,Percentage,1770,GL02-GL55[GL55-05=貸方]/GL55-GL68[GL68-04=消費税]/GL68-02,
AG,貸方資金区分,0..1,Text,1700,GL02-GL55[GL55-05=貸方]/GL55-GL60[GL60-01=資金区分]/GL60-02,
AH,貸方任意項目１,,,,,
AI,貸方任意項目２,,,,,
AJ,摘要,0..1,Text,1250,GL55-04,
AK,期日,0..1,Date,1290,GL55-08,
AL,証番号,0..1,Code,1270,GL55-06,
AM,入力ユーザ,0..1,Identifier,1150,GL57-01,
AN,入力マシン,0..1,Document Reference,1130,GL64-04,
AO,入力アプリ,0..1,Text,1120,GL64-03,
AP,入力会社,0..1,Text,1110,GL64-02,
AQ,入力日付,0..1,Date,1160,GL57-02,
